PC,    I,     INSTRUCTION,  x,   kk,    regVx
369,    3b7,     7b0c,        b,  c,   3a
35b,    3b7,     ee,        0,  ee,   1
35d,    3b7,     7bd0,        b,  d0,   10a
26d,    3b7,     ee,        0,  ee,   1
26f,    3b7,     fd15,        d,  15,   3c
271,    3b7,     6004,        0,  4,   4
273,    3b7,     e09e,        0,  9e,   4
27d,    3b7,     127d,        2,  7d,   8
27f,    3b7,     6006,        0,  6,   6
281,    3b7,     e09e,        0,  9e,   6
28b,    3b7,     128b,        2,  8b,   8
28f,    3b7,     3600,        6,  0,   0
291,    3b7,     6005,        0,  5,   5
293,    3b7,     e09e,        0,  9e,   5
2e9,    3b7,     12e9,        2,  e9,   8
2eb,    3b7,     3e00,        e,  0,   f
307,    3b7,     1307,        3,  7,   0
309,    3b7,     f707,        7,  7,   2f
30b,    3b7,     3700,        7,  0,   2f
26f,    3b7,     126f,        2,  6f,   8
271,    3b7,     6004,        0,  4,   4
273,    3b7,     e09e,        0,  9e,   4
27d,    3b7,     127d,        2,  7d,   8
27f,    3b7,     6006,        0,  6,   6
281,    3b7,     e09e,        0,  9e,   6
28b,    3b7,     128b,        2,  8b,   8
28f,    3b7,     3600,        6,  0,   0
291,    3b7,     6005,        0,  5,   5
293,    3b7,     e09e,        0,  9e,   5
2e9,    3b7,     12e9,        2,  e9,   8
2eb,    3b7,     3e00,        e,  0,   f
307,    3b7,     1307,        3,  7,   0
309,    3b7,     f707,        7,  7,   20
30b,    3b7,     3700,        7,  0,   20
26f,    3b7,     126f,        2,  6f,   8
271,    3b7,     6004,        0,  4,   4
273,    3b7,     e09e,        0,  9e,   4
27d,    3b7,     127d,        2,  7d,   8
27f,    3b7,     6006,        0,  6,   6
281,    3b7,     e09e,        0,  9e,   6
28b,    3b7,     128b,        2,  8b,   8
28f,    3b7,     3600,        6,  0,   0
291,    3b7,     6005,        0,  5,   5
293,    3b7,     e09e,        0,  9e,   5
2e9,    3b7,     12e9,        2,  e9,   8
2eb,    3b7,     3e00,        e,  0,   f
307,    3b7,     1307,        3,  7,   0
309,    3b7,     f707,        7,  7,   11
30b,    3b7,     3700,        7,  0,   11
26f,    3b7,     126f,        2,  6f,   8
271,    3b7,     6004,        0,  4,   4
273,    3b7,     e09e,        0,  9e,   4
27d,    3b7,     127d,        2,  7d,   8
27f,    3b7,     6006,        0,  6,   6
281,    3b7,     e09e,        0,  9e,   6
28b,    3b7,     128b,        2,  8b,   8
28f,    3b7,     3600,        6,  0,   0
291,    3b7,     6005,        0,  5,   5
293,    3b7,     e09e,        0,  9e,   5
2e9,    3b7,     12e9,        2,  e9,   8
2eb,    3b7,     3e00,        e,  0,   f
307,    3b7,     1307,        3,  7,   0
309,    3b7,     f707,        7,  7,   2
30b,    3b7,     3700,        7,  0,   2
26f,    3b7,     126f,        2,  6f,   8
271,    3b7,     6004,        0,  4,   4
273,    3b7,     e09e,        0,  9e,   4
27d,    3b7,     127d,        2,  7d,   8
27f,    3b7,     6006,        0,  6,   6
281,    3b7,     e09e,        0,  9e,   6
28b,    3b7,     128b,        2,  8b,   8
28f,    3b7,     3600,        6,  0,   0
291,    3b7,     6005,        0,  5,   5
293,    3b7,     e09e,        0,  9e,   5
2e9,    3b7,     12e9,        2,  e9,   8
2eb,    3b7,     3e00,        e,  0,   f
307,    3b7,     1307,        3,  7,   0
309,    3b7,     f707,        7,  7,   0
30d,    3b7,     3700,        7,  0,   0
30f,    3b7,     fd15,        d,  15,   3c
347,    3b7,     2347,        3,  47,   0
349,    3b7,     a3b7,        3,  b7,   0
34b,    3b7,     f91e,        9,  1e,   0
34d,    3b7,     6108,        1,  8,   8
35f,    3b7,     235f,        3,  5f,   0
